1131	Use cases|Visual improvements|Status: Underway|Color|Frontend|Enhancement|Visualizations	Allow styling of start and end states
1130	Tooling|Chore|Performance|Enhancement|Blocks others	Add compiles/second to performance benchmark
1126	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `grammar-graph`
1125	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen	Fill out feature comparison: `mood`
1124	Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Difficulty: easy|Blocks others	Fill out feature comparison: `robot3`
1123	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `stent`
1122	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Is blocked	Fill out feature comparison: `fsm`
1121	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen	Fill out feature comparison: `fsm-event`
1120	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Blocks others	Fill out feature comparison: `node-state`
1119	Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `state-machine`
1118	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Javascript	Fill out feature comparison: `stately.js`
1117	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Javascript	Fill out feature comparison: `fsm-as-promised`
1116	Chore|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `fsm-iterator`
1115	Chore|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `finity`
1114	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `machina`
1113	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Javascript	Fill out feature comparison: `javascript-state-machine`
1112	Needs research|Competition|Publicity and visibility|Collected propaganda|Low hanging fruit|Documentation and docgen|Blocks others	Fill out feature comparison: `xstate`
1111	Documentation Generators|Chore|High priority|Competition|Publicity and visibility|Help sidebar|Status: Underway|Documentation and docgen	Tackle feature comparison table one machine at a time
1110	Needs research|Tooling|Machine use cases|Functional language|Graph language|Issue needs work|Integrations|Very powerful|List issue|Enhancement|Features	Basic posthooks
1108	Needs research|Tooling|Machine use cases|Use cases|Functional language|Issue needs work|Integrations|Very powerful|List issue|Enhancement|Features	Fluent basic hooks
1107	Needs research|Tooling|Machine use cases|Functional language|Graph language|Issue needs work|Integrations|Very powerful|List issue|Enhancement|Features|API	API basic hooks
1098	Tooling|Chore|Cleanup|Ease of use|Automation|Viz action|Ease of contribution|Status: Underway|Low hanging fruit	Unify tracker for jssm-viz-action
1097	Tooling|Documentation Generators|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit	Unify tracker for typedoc-plugin-fsl
1096	Chore|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit|Process	Unify tracker for fsl.tools
1095	Editors|Tooling|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit	Unify tracker for fsl.tools/editor
1094	Tooling|Chore|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit|Process	Unify tracker for fslp
1093	Tooling|Chore|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit|Meta	Unify tracker for fsli
1091	Tooling|Chore|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit	Unify tracker for fsl
1090	Tooling|Chore|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit|Cli	Unify tracker for jssm-cli
1089	Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit|Process|Cli	Unify tracker for jssm-viz-cli
1088	Tooling|Chore|Cleanup|Ease of use|Automation|Integrations|Ease of contribution|Status: Underway|Low hanging fruit|Process	Unify tracker for jssm-viz
1087	Tooling|Chore|Cleanup|Ease of use|Automation|Ease of contribution|Status: Underway|Low hanging fruit|Process	Unify tracker for jssm
1086	Tooling|Ease of use|Issue needs work|Automation|List issue|Needs information	Unify tracker for jssm-viz-demo
1085	Tooling|Ease of use|Issue needs work|Automation|Integrations|List issue|Meta	WAIT YOU CAN ACTUALLY UNIFY ISSUE TRACKERS SORT OF
1072	Bug|Is blocked|Core|Typescript|Verified	`.actions()` has nonsense response when used on a state with no actions
1071	REPL|Bug|Is blocked|Core|Typescript	`.actions()` has nonsense response when used on a machine with no actions
1069	Publicity and visibility|Automation|Integrations|Workflows	Bring jssm-viz-demo twitter hook online
1068	Publicity and visibility|Automation|Integrations|Enhancement|Customer acquisition	Bring jssm-viz twitter hook online
1067	Publicity and visibility|Automation|Integrations|Enhancement|CI/CD	Bring jssm twitter hook online
1066	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support phi
1065	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement|FSL	Support ln10e
1064	Needs implementation|Machine use cases|Functional language|Ease of use|Needs tests|Status: Underway|Enhancement|FSL	Support ln10
1063	Needs implementation|Machine use cases|Ease of use|Needs tests|Status: Underway|Needs a feature|Enhancement	Support ln2e
